Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Numb,187520,87,0.488,0.87,-4.185,110.072,0.00353,0.0421,0.0,0.484,0.211
Everlong,250546,81,0.413,0.881,-5.541,158.066,5.99e-05,0.0367,0.000308,0.0805,0.364
The Emptiness Machine,190427,91,0.466,0.872,-3.344,184.115,0.0156,0.0336,0.0,0.121,0.806
In the End,216880,87,0.556,0.864,-5.87,105.143,0.00958,0.0584,0.0,0.209,0.4
The Middle,165853,80,0.643,0.849,-5.428,162.152,0.0371,0.0526,0.0,0.058,0.903
How You Remind Me,223840,83,0.446,0.764,-5.042,172.094,0.00135,0.033,0.0,0.099,0.543
Scar Tissue,215906,83,0.595,0.717,-4.803,88.969,0.0779,0.0295,0.00274,0.108,0.547
One Step Closer,157333,83,0.492,0.969,-4.419,95.136,0.0014,0.0491,1.32e-06,0.0787,0.538
Chop Suey!,210240,83,0.417,0.934,-3.908,127.066,0.000278,0.119,0.0015,0.132,0.287
One Last Breath,238240,79,0.386,0.677,-5.83,126.602,0.00841,0.0346,0.00366,0.341,0.195
Faint,162106,85,0.554,0.98,-3.514,135.12,0.127,0.108,0.0,0.0833,0.611
Animal I Have Become,231400,77,0.553,0.853,-3.668,122.023,0.000684,0.0339,0.0,0.126,0.506
All The Small Things,167066,81,0.434,0.897,-4.918,148.708,0.0103,0.0488,0.0,0.612,0.685
Kryptonite,233933,78,0.545,0.865,-5.708,99.005,0.00664,0.0286,1.1e-05,0.168,0.543
Jessie's Girl,194120,74,0.727,0.834,-5.851,131.7,0.165,0.0496,0.0,0.105,0.816
Break Stuff,166706,80,0.432,0.884,-6.657,108.835,0.0128,0.128,0.000457,0.166,0.619
Enter Sandman (Remastered),331560,74,0.566,0.834,-8.412,123.296,0.00277,0.0298,0.008,0.0625,0.621
Dragula,222826,78,0.59,0.963,-6.489,125.033,8.75e-05,0.0676,0.000105,0.0781,0.586
"You're Gonna Go Far, Kid",177826,81,0.55,0.917,-3.159,126.115,0.00428,0.0638,0.0,0.197,0.601
Bring Me To Life,235893,83,0.331,0.943,-3.188,94.612,0.00721,0.0698,2.06e-06,0.242,0.296
Heavy Is the Crown,167012,87,0.571,0.928,-3.725,127.939,0.00932,0.0453,0.0,0.297,0.489
Toxicity,218933,83,0.413,0.873,-4.151,116.68,0.000264,0.0536,0.00249,0.204,0.48
I Hate Everything About You,231480,78,0.498,0.83,-5.157,89.342,0.00461,0.0421,0.0,0.139,0.453
Can't Stop,269000,82,0.618,0.938,-3.442,91.455,0.0179,0.0456,0.0,0.167,0.875
My Own Worst Enemy,169026,74,0.494,0.946,-2.757,103.408,0.00129,0.0637,0.0,0.398,0.741
Sweet Child O' Mine,356066,84,0.445,0.952,-5.321,125.304,0.09,0.0522,0.0843,0.112,0.624
Bleed It Out,164426,81,0.541,0.969,-3.439,140.119,0.113,0.0458,0.0,0.638,0.599
Change (In the House of Flies),299533,77,0.269,0.853,-4.647,141.581,0.000249,0.0854,0.000246,0.118,0.179
Livin' On A Prayer,249293,83,0.532,0.887,-3.757,122.509,0.0778,0.0335,0.000206,0.294,0.794
My Own Summer (Shove It),214760,77,0.443,0.781,-4.277,71.841,1.33e-05,0.0377,0.205,0.166,0.372
Drive,232453,77,0.645,0.792,-7.34,90.565,0.0562,0.036,0.0121,0.119,0.666
Higher,316733,75,0.459,0.83,-6.254,155.827,5.15e-05,0.0364,0.00014,0.206,0.431
Under the Bridge,264306,80,0.559,0.345,-13.496,84.581,0.0576,0.0459,0.000105,0.141,0.458
Freak On a Leash,255733,78,0.353,0.898,-5.877,103.299,2.23e-05,0.052,0.105,0.39,0.525
(Don't Fear) The Reaper,308120,76,0.333,0.927,-8.55,141.466,0.0029,0.0733,0.000208,0.297,0.385
Last Resort,199906,80,0.589,0.89,-3.719,90.586,0.000481,0.06,0.00082,0.201,0.687
Californication,329733,82,0.592,0.767,-2.788,96.483,0.0021,0.027,0.00165,0.127,0.328
Monster,178013,79,0.64,0.957,-2.336,134.992,0.0431,0.0741,0.0,0.0789,0.692
Black Hole Sun,318586,76,0.35,0.828,-5.373,105.435,0.000217,0.041,0.000161,0.0774,0.147
Paralyzer,208106,74,0.644,0.939,-3.486,106.031,0.157,0.0456,0.0,0.233,0.861
More Than a Feeling,285133,78,0.377,0.681,-8.039,108.789,0.00088,0.0298,0.0023,0.0504,0.285
Duality,252613,79,0.354,0.982,-3.026,143.772,0.000237,0.168,0.000294,0.204,0.194
Lonely Day,167906,79,0.47,0.796,-3.277,113.108,0.362,0.0336,1.1e-06,0.133,0.215
The Red,238400,73,0.509,0.843,-3.318,140.055,0.000671,0.0488,0.000803,0.348,0.332
Be Quiet and Drive (Far Away),299866,76,0.206,0.965,-5.116,92.615,9.91e-06,0.079,0.827,0.367,0.168
Savior,242280,77,0.554,0.932,-3.424,112.488,0.00154,0.0485,0.000139,0.425,0.478
Welcome To The Jungle,273480,80,0.454,0.987,-4.485,123.61,0.0195,0.0881,0.279,0.268,0.316
Cold,194226,72,0.451,0.815,-5.55,147.974,6.06e-05,0.0368,0.0,0.27,0.618
Aerials,235053,79,0.364,0.922,-4.217,79.342,0.000915,0.0567,0.0346,0.0697,0.227
The Kids Aren't Alright,180160,81,0.523,0.943,-4.203,99.607,0.00704,0.0337,3.81e-05,0.0579,0.766
Man in the Box,285200,75,0.355,0.791,-7.565,106.392,0.00045,0.0453,0.0,0.0969,0.758
Paranoid - 2012 - Remaster,168405,72,0.412,0.658,-12.051,163.071,4.52e-05,0.0708,0.000774,0.176,0.454
Like a Stone,293960,78,0.614,0.568,-5.477,107.849,0.00797,0.0276,0.0,0.0997,0.516
Face Down,192000,75,0.545,0.932,-2.189,92.956,0.000665,0.0399,0.0,0.127,0.464
Crawling,208960,80,0.58,0.702,-5.565,105.076,0.0466,0.0337,3.2e-06,0.536,0.299
Sextape,241533,75,0.367,0.634,-6.475,89.981,0.000824,0.027,0.0759,0.116,0.0964
Even Flow,292580,77,0.394,0.944,-6.506,105.338,0.00178,0.0761,4.54e-06,0.298,0.265
What's My Age Again?,148360,77,0.391,0.951,-7.419,157.663,0.012,0.0688,0.000446,0.0878,0.468
Fake It,193893,73,0.611,0.95,-3.509,132.078,0.00141,0.0518,1.59e-06,0.0543,0.607
Coming Undone,199773,75,0.687,0.677,-4.172,75.052,0.000643,0.0508,0.000137,0.0564,0.545
Semi-Charmed Life,268360,73,0.64,0.864,-6.576,102.026,0.00832,0.0314,0.0,0.123,0.701
The Anthem,175093,75,0.494,0.939,-3.127,177.751,0.00666,0.126,0.0,0.139,0.893
What I've Done,205226,81,0.627,0.935,-4.882,120.092,0.0092,0.0324,0.0,0.147,0.287
You Give Love A Bad Name,222706,81,0.541,0.959,-2.947,122.805,0.0663,0.0505,2.18e-06,0.344,0.812
Interstate Love Song - 2019 Remaster,194853,74,0.215,0.927,-7.327,170.814,0.000273,0.0452,0.00661,0.126,0.49
Papercut,184866,79,0.524,0.939,-3.994,150.184,0.00022,0.113,0.0,0.623,0.661
Kickstart My Heart,282653,76,0.363,0.982,-3.621,179.23,0.00123,0.3,0.00218,0.284,0.275
Cherry Waves,317706,73,0.47,0.859,-3.663,124.01,0.000362,0.0537,0.00691,0.142,0.17
The Diary of Jane - Single Version,200546,74,0.392,0.964,-4.441,167.024,7.13e-05,0.0644,0.0387,0.106,0.269
Them Bones (2022 Remaster),149466,73,0.16,0.954,-5.179,165.223,0.023,0.0685,4.01e-06,0.372,0.336
Dirty Little Secret,193653,70,0.465,0.954,-4.251,143.85,0.000346,0.044,5.38e-06,0.573,0.458
Bodies,201960,75,0.656,0.932,-3.405,130.936,0.00347,0.0708,0.00147,0.144,0.544
Killing In The Name,313573,78,0.466,0.833,-4.215,88.785,0.0266,0.304,0.0,0.0327,0.661
Crazy Train,293183,75,0.454,0.913,-4.008,137.688,0.408,0.107,0.000271,0.248,0.521
Barracuda,261933,74,0.548,0.691,-13.553,137.145,0.015,0.0369,0.106,0.144,0.667
Somewhere I Belong,213933,71,0.451,0.951,-3.754,162.041,0.000386,0.0645,2.56e-06,0.261,0.441
Just Pretend,204676,75,0.457,0.834,-4.674,140.032,0.00252,0.0817,0.00125,0.1,0.201
Master of Puppets (Remastered),515386,70,0.539,0.828,-9.108,105.25,0.00067,0.035,0.421,0.154,0.562
No Rain,217106,73,0.389,0.476,-9.342,148.117,0.619,0.0316,5.09e-05,0.255,0.566
Ocean Avenue,198266,72,0.486,0.904,-3.751,173.734,3.43e-05,0.0638,2.83e-05,0.0947,0.786
Self Esteem,257826,76,0.488,0.862,-7.595,104.56,0.0204,0.0476,0.0,0.359,0.706
I Miss You,227240,75,0.655,0.781,-6.547,110.024,0.00103,0.034,5.33e-06,0.0867,0.584
Paradise City,405600,78,0.268,0.98,-5.959,100.316,0.019,0.101,0.00692,0.182,0.39
Gives You Hell,213106,69,0.718,0.691,-6.44,100.008,0.0159,0.0387,0.0,0.0627,0.552
It's Been Awhile,264706,68,0.509,0.774,-4.054,116.529,0.00189,0.0338,0.000549,0.143,0.0824
Burn It to the Ground,212346,74,0.617,0.922,-3.474,132.059,0.000247,0.0744,0.388,0.363,0.6
Nutshell,259200,73,0.384,0.561,-10.059,136.136,0.373,0.0296,0.253,0.0775,0.159
For Whom The Bell Tolls (Remastered),309973,69,0.512,0.86,-6.145,117.909,0.00631,0.0703,0.00528,0.0652,0.258
Down with the Sickness,279213,75,0.695,0.876,-4.262,89.954,0.000996,0.0553,6.89e-06,0.106,0.941
Second Chance,222066,70,0.46,0.796,-4.501,100.011,0.00107,0.0333,0.0,0.106,0.182
Would? (2022 Remaster),206773,73,0.297,0.842,-7.457,100.127,0.000286,0.0488,9.1e-06,0.0848,0.586
When I'm Gone,260333,71,0.53,0.768,-5.611,148.095,0.00385,0.0284,0.0,0.103,0.374
Rollin' (Air Raid Vehicle),213760,77,0.603,0.933,-3.358,96.311,0.00591,0.171,0.0,0.206,0.709
Otherside,255373,78,0.458,0.795,-3.265,123.229,0.00316,0.0574,0.000202,0.0756,0.513
In Too Deep,207093,75,0.569,0.843,-5.875,116.045,0.000189,0.0503,0.0,0.0607,0.76
Living Dead Girl,201400,71,0.518,0.948,-5.579,103.025,0.00512,0.0676,0.0996,0.228,0.548
Bullet With Butterfly Wings - Remastered 2012,258466,72,0.404,0.72,-9.18,121.864,5.59e-05,0.0623,0.836,0.0466,0.475
Take Me Back To Eden,500116,72,0.511,0.625,-7.911,118.064,0.0504,0.0494,0.00011,0.311,0.107
Throne,191520,77,0.426,0.888,-3.72,144.111,0.000455,0.0987,0.0,0.306,0.387
Wish You Were Here,212733,72,0.246,0.768,-7.48,169.873,0.000631,0.0387,0.301,0.102,0.35
