Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Die With A Smile,251667,99,0.521,0.592,-7.777,157.969,0.308,0.0304,0.0,0.122,0.535
BIRDS OF A FEATHER,210373,97,0.747,0.507,-10.171,104.978,0.2,0.0358,0.0608,0.117,0.438
"Good Luck, Babe!",218423,94,0.7,0.582,-5.96,116.712,0.0502,0.0356,0.0,0.0881,0.785
Taste,157279,94,0.674,0.907,-4.086,112.964,0.101,0.064,0.0,0.297,0.721
Sailor Song,211978,92,0.494,0.413,-10.432,94.938,0.682,0.0254,6.72e-05,0.193,0.273
Timeless (with Playboi Carti),256000,91,0.769,0.722,-5.485,119.973,0.0584,0.0507,2.56e-06,0.111,0.57
Bed Chem,171869,91,0.739,0.727,-5.968,94.99,0.0678,0.0426,0.0,0.104,0.676
HOT TO GO!,184841,89,0.742,0.757,-4.981,139.982,0.0187,0.0421,0.0,0.305,0.957
WILDFLOWER,261466,92,0.467,0.247,-12.002,148.101,0.612,0.0431,0.000271,0.17,0.126
Pink Pony Club,258034,86,0.61,0.65,-6.199,106.719,0.399,0.0474,0.0,0.11,0.507
Who,170887,92,0.66,0.756,-3.743,116.034,0.00289,0.032,0.0,0.193,0.838
Sweater Weather,240400,90,0.612,0.807,-2.81,124.053,0.0495,0.0336,0.0177,0.101,0.398
Stick Season,182346,87,0.664,0.5,-6.935,117.896,0.799,0.0651,0.0,0.0966,0.801
Juno,223192,87,0.633,0.725,-4.257,130.504,0.0461,0.0427,0.0,0.205,0.64
Good Graces,185265,86,0.758,0.759,-5.315,126.012,0.329,0.0479,3.96e-06,0.144,0.732
Red Wine Supernova,192720,84,0.657,0.82,-4.448,124.041,0.0176,0.0441,0.0,0.0847,0.709
I Had Some Help (Feat. Morgan Wallen),178205,84,0.644,0.874,-4.723,128.017,0.0113,0.0265,0.0,0.227,0.753
Espresso,175459,90,0.701,0.76,-5.478,103.969,0.107,0.0285,6.54e-05,0.185,0.69
Espresso,175459,88,0.699,0.776,-5.282,103.963,0.131,0.0293,5.36e-06,0.205,0.708
Slow It Down,161831,87,0.432,0.583,-4.682,181.489,0.174,0.0687,0.0,0.0933,0.544
A Bar Song (Tipsy),171291,87,0.722,0.709,-4.95,81.012,0.0633,0.0273,0.0,0.0804,0.604
No One Noticed,236906,82,0.705,0.339,-10.612,97.989,0.552,0.0278,0.0814,0.12,0.457
Beautiful Things,180304,88,0.472,0.471,-5.692,105.029,0.151,0.0603,0.0,0.14,0.219
Please Please Please,186365,87,0.675,0.586,-6.086,107.015,0.257,0.0531,0.0,0.104,0.621
Diet Pepsi,169697,88,0.669,0.561,-6.538,150.069,0.495,0.0411,0.00962,0.0954,0.841
Please Please Please,186365,88,0.669,0.586,-6.073,107.071,0.274,0.054,0.0,0.104,0.579
I Had Some Help (Feat. Morgan Wallen),178205,84,0.638,0.855,-4.86,127.986,0.00757,0.0264,0.0,0.245,0.731
Casual,232796,84,0.508,0.411,-6.95,131.008,0.226,0.0269,0.0,0.0571,0.34
A Bar Song (Tipsy),171291,84,0.722,0.706,-4.857,80.969,0.072,0.0292,0.0,0.067,0.599
we fell in love in october,184153,86,0.566,0.366,-12.808,129.96,0.113,0.028,0.181,0.155,0.237
Cruel Summer,178426,89,0.552,0.702,-5.707,169.994,0.117,0.157,2.06e-05,0.105,0.564
CHIHIRO,303440,87,0.7,0.425,-12.531,110.015,0.144,0.0529,0.879,0.083,0.521
Stargazing,172533,88,0.635,0.601,-6.129,123.994,0.246,0.0295,0.0,0.11,0.332
Snooze,201800,85,0.559,0.551,-7.231,143.008,0.141,0.132,0.0,0.11,0.392
Shut up My Moms Calling,164571,85,0.485,0.409,-10.711,138.419,0.325,0.101,0.0,0.103,0.376
LUNCH,179586,86,0.893,0.4,-7.981,124.987,0.0452,0.0643,0.0823,0.0632,0.945
Nonsense,163648,86,0.74,0.697,-4.912,138.992,0.0268,0.034,0.0,0.224,0.732
End of Beginning,159245,89,0.689,0.454,-7.643,159.982,0.0351,0.0584,0.00259,0.0707,0.912
It's ok I'm ok,156521,85,0.754,0.514,-7.721,114.997,0.0257,0.0471,3.98e-05,0.0808,0.363
Apocalypse,290616,87,0.369,0.468,-9.013,94.434,0.0205,0.0273,0.566,0.109,0.18
Take Me to Church,241693,79,0.566,0.664,-5.303,128.945,0.634,0.0464,0.0,0.116,0.437
Saturn,186191,85,0.411,0.619,-6.834,177.937,0.62,0.0368,0.0,0.11,0.337
Romantic Homicide,132630,85,0.571,0.544,-10.613,132.052,0.453,0.0299,0.00805,0.322,0.216
Feather,185552,85,0.791,0.694,-4.332,123.508,0.0736,0.0335,1.75e-06,0.0958,0.826
Kill Bill,153946,86,0.644,0.735,-5.747,88.98,0.0521,0.0391,0.144,0.161,0.418
Heartless (feat. Morgan Wallen),169226,79,0.765,0.556,-6.417,111.033,0.275,0.0512,0.0,0.0824,0.274
Guess featuring billie eilish,143330,86,0.776,0.667,-6.622,130.019,0.0146,0.0983,0.3,0.0761,0.618
Coincidence,164202,83,0.418,0.815,-6.216,77.862,0.362,0.125,0.0,0.125,0.758
My Kink Is Karma,222578,80,0.555,0.599,-5.695,86.727,0.00925,0.052,0.0,0.102,0.415
Linger,274706,83,0.439,0.434,-14.918,94.843,0.0783,0.0265,5.18e-05,0.14,0.204
