Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Faz um Vuk Vuk (Teto Espelhado),138461,69,0.92,0.413,-7.901,130.078,0.504,0.0752,0.0514,0.133,0.679
Pinxadão,138466,74,0.855,0.695,-3.297,129.968,0.731,0.118,1.7e-06,0.135,0.533
Ela É do Tipo (feat. Drake) [Remix],212432,46,0.576,0.524,-5.428,99.384,0.89,0.24,0.0,0.108,0.716
Toma Tapa,122994,67,0.921,0.55,-4.736,129.847,0.196,0.369,1.41e-05,0.0947,0.848
Vamos pra Gaiola,161600,65,0.872,0.971,-5.576,149.987,0.917,0.281,0.00143,0.121,0.521
Incendeia,239999,57,0.893,0.461,-5.708,135.136,0.713,0.422,0.0406,0.117,0.864
Papin,122666,59,0.727,0.786,-5.755,134.571,0.491,0.291,1.52e-05,0.145,0.682
Tropa do Menino Rei,130285,51,0.875,0.634,-4.06,139.857,0.0283,0.203,1.55e-06,0.0593,0.823
Evoluiu,179644,64,0.776,0.465,-6.368,149.829,0.466,0.434,0.0,0.363,0.694
Vento Forte,123711,64,0.86,0.78,-4.158,130.048,0.246,0.131,0.000827,0.31,0.801
Aquecimento Senta Senta Suave,152888,58,0.565,0.749,-3.621,94.075,0.509,0.442,3e-06,0.339,0.544
De Menino Virou Little Hair,181333,60,0.77,0.692,-2.374,168.584,0.283,0.383,9.05e-06,0.0952,0.817
Eu Vou pro Baile da Gaiola,123219,59,0.832,0.957,-3.212,152.073,0.824,0.105,0.000372,0.0673,0.642
Boca de Mel,124174,61,0.652,0.633,-8.689,89.996,0.0905,0.2,0.157,0.139,0.71
A Culpa Não É Minha,137966,66,0.863,0.525,-6.005,129.967,0.393,0.137,0.000247,0.15,0.287
Vem Me Satisfazer,188388,58,0.862,0.561,-5.703,99.864,0.596,0.335,0.0,0.108,0.541
A Culpa Não É Minha,137966,61,0.862,0.526,-6.016,129.973,0.386,0.145,0.000206,0.15,0.244
