Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Experience,315426,75,0.447,0.449,-10.634,92.468,0.934,0.0376,0.961,0.0697,0.036
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",151733,62,0.218,0.111,-21.375,77.423,0.895,0.0688,0.834,0.165,0.27
Adieux,175492,69,0.225,0.00407,-37.107,73.595,0.987,0.0464,0.936,0.112,0.32
Gymnopédie No. 1,205866,67,0.468,0.0127,-36.856,72.776,0.994,0.123,0.937,0.094,0.356
Carnival of the Animals: The Swan,150146,66,0.213,0.0656,-24.81,65.023,0.992,0.0467,0.969,0.0699,0.0384
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",315426,68,0.184,0.00527,-37.264,170.612,0.995,0.0432,0.887,0.173,0.151
River Flows In You,188786,69,0.315,0.22,-21.343,145.195,0.987,0.0514,0.943,0.0802,0.116
"Suite bergamasque, L. 75: III. Clair de lune",294960,64,0.32,0.00501,-33.366,68.947,0.993,0.0455,0.919,0.0618,0.0383
"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",166866,68,0.136,0.164,-18.756,58.303,0.911,0.0364,0.916,0.109,0.071
Merry-Go-Round of Life - from 'Howl's Moving Castle',311106,66,0.239,0.287,-12.565,71.608,0.876,0.0388,0.644,0.122,0.185
The Flower Garden,178506,64,0.0999,0.181,-17.599,71.277,0.94,0.0424,0.888,0.105,0.0922
"Clair de Lune, L. 32",268000,65,0.335,0.00532,-31.646,65.832,0.994,0.0376,0.912,0.0621,0.0397
In A Sentimental Mood,255226,64,0.464,0.305,-12.435,107.854,0.936,0.0316,0.0848,0.208,0.281
"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",174266,64,0.169,0.0161,-31.034,128.143,0.986,0.0442,0.86,0.0805,0.0573
"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156 by F. Christl)",112352,66,0.429,0.258,-16.967,78.809,0.957,0.0549,0.893,0.115,0.0972
Epilogue,108968,64,0.252,0.0875,-24.711,135.774,0.989,0.0403,0.873,0.108,0.126
Satie / Orch. Ducros: Gymnopédie No. 1,172120,62,0.0921,0.0183,-31.858,166.979,0.942,0.0513,0.94,0.195,0.039
Carnival of the Animals: The Swan - Arranged for Cello and Harp by Miriam Keogh,174333,62,0.216,0.149,-18.173,123.201,0.986,0.0402,0.94,0.0921,0.117
"Album for the Young, Op. 39: No. 3. Mamma (Maman)",93506,65,0.418,0.00869,-37.257,87.273,0.996,0.0455,0.962,0.105,0.42
"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",259493,65,0.225,0.0047,-30.928,163.665,0.992,0.0509,0.881,0.0722,0.186
"Dolly Suite, Op. 56: I. Berceuse",176518,62,0.454,0.0076,-33.663,64.645,0.995,0.0408,0.91,0.0864,0.294
Wind Song,198649,66,0.339,0.00572,-32.309,72.7,0.986,0.0378,0.923,0.103,0.0616
Nuvole Bianche,357706,70,0.191,0.0582,-25.398,132.614,0.961,0.0578,0.89,0.0941,0.0454
Once,125984,63,0.338,0.00887,-32.602,113.173,0.994,0.0459,0.957,0.109,0.114
"16 Waltzes, Op. 39 (1867 version): No. 3 in G-Sharp Minor",52200,64,0.287,0.00703,-41.696,124.244,0.995,0.0518,0.909,0.0997,0.693
The Arts and the Hours,285442,60,0.417,0.026,-36.7,135.244,0.995,0.0493,0.938,0.107,0.269
You're in Love,71800,61,0.526,0.0344,-27.855,67.101,0.996,0.11,0.924,0.118,0.208
Concerning Hobbits,175040,63,0.488,0.0629,-21.524,104.311,0.843,0.0342,0.406,0.133,0.175
"Grieg: Peer Gynt, Op. 23: Morning Mood (Transcr. Katsaris for Piano)",248600,30,0.282,0.0264,-26.705,144.542,0.982,0.0384,0.871,0.088,0.0672
"Bach, JS: Orchestral Suite No. 2 in B Minor, BWV 1067: VII. Badinerie (Version for Violin and Orchestra)",75386,30,0.488,0.181,-17.76,145.98,0.827,0.0555,0.0474,0.264,0.888
"Christmas Oratorio, BWV 248, Pt. 1 ""For the First Day of Christmas"": No. 4, Bereite dich, Zion, mit zärtlichen Trieben",316720,24,0.399,0.0439,-24.491,99.718,0.979,0.0463,1.69e-06,0.284,0.418
Joy,143973,26,0.295,0.207,-18.213,98.39,0.992,0.0358,0.931,0.164,0.112
"Bach: Flute Sonata in E-Flat Major, BWV 1031: II. Siciliano (Arr. Duchâble for Piano)",127093,27,0.491,0.0282,-35.207,104.072,0.996,0.0469,0.923,0.117,0.429
"Bach, JS: The Well-Tempered Clavier, Book 1, Prelude and Fugue No. 1 in C Major, BWV 846: I. Prelude",135560,26,0.279,0.0876,-27.941,134.041,0.989,0.0383,0.896,0.132,0.0973
"Schubert: 4 Impromptus, Op. 90, D. 899: No. 3 in G-Flat Major",385653,23,0.175,0.0418,-25.426,66.084,0.992,0.0402,0.907,0.0748,0.0686
"Bach, JS: Violin Concerto No. 2 in E Major, BWV 1042: II. Adagio",379120,20,0.199,0.049,-21.91,111.693,0.93,0.049,0.0393,0.0836,0.0758
"Fauré: 3 Romances sans paroles, Op. 17: No. 3 in A-Flat Major",156520,24,0.28,0.00856,-30.663,69.877,0.995,0.0406,0.903,0.107,0.209
"Massenet: 10 Pièces de genre, Op. 10: No. 5, Mélodie ""Élégie""",156560,23,0.335,0.0121,-27.15,68.764,0.995,0.0455,0.883,0.0858,0.168
Noah,167880,23,0.36,0.0457,-20.132,65.971,0.981,0.0327,0.933,0.105,0.124
"Satie: 3 Gymnopédies: No. 1, Lent et douloureux",189026,22,0.585,0.025,-27.829,80.555,0.991,0.084,0.878,0.101,0.597
"Bach, JS: Piano Concerto No. 5 in F Minor, BWV 1056: II. Largo",187800,22,0.327,0.0055,-33.208,107.052,0.986,0.0426,0.0403,0.133,0.0891
"Christ lag in Todesbanden BWV 4: III. Versus II, Den Tod niemand zwingen kunnt",311866,19,0.122,0.029,-26.627,81.547,0.971,0.0419,0.069,0.123,0.0364
"Gluck: La plainte d’Orphée (Arr. Kempff for Piano After Dance of the Blessed Spirits from Orfeo, Wq. 30)",194386,22,0.398,0.0294,-27.708,76.355,0.995,0.0388,0.913,0.0475,0.0629
Dessner: Song for Octave,197250,21,0.403,0.104,-23.741,134.918,0.992,0.0348,0.961,0.134,0.167
Playful (variation),197506,21,0.243,0.00395,-34.378,67.057,0.973,0.0341,0.875,0.0775,0.193
"Debussy: 2 Arabesques, CD 74, L. 66: No. 1, Andantino con moto",230400,20,0.296,0.0773,-25.922,77.443,0.994,0.0405,0.904,0.0818,0.0914
Sweet Dream,197573,21,0.287,0.0937,-20.273,85.935,0.986,0.0277,0.866,0.0885,0.167
