Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
i'm yours,145667,80,0.398,0.705,-7.07,111.487,0.204,0.0756,5.13e-05,0.443,0.635
favorite,133608,78,0.726,0.652,-5.328,97.032,0.00323,0.0779,0.003,0.0905,0.625
older,137778,76,0.466,0.51,-7.31,67.513,0.0842,0.0348,1.55e-06,0.0912,0.418
icantbelieveiletyougetaway,135880,69,0.571,0.533,-7.422,122.355,0.0138,0.0297,0.00629,0.0604,0.273
I'm so crazy for youuu </3,110133,69,0.517,0.995,-1.437,159.402,0.0785,0.0989,0.0,0.703,0.803
eyes don't lie,150720,73,0.555,0.773,-9.019,124.953,0.0236,0.121,0.000941,0.0715,0.255
masquerade,144535,67,0.608,0.792,-5.721,161.104,0.000674,0.0355,0.653,0.252,0.611
gold,126988,64,0.531,0.858,-2.566,154.856,0.0173,0.346,0.0,0.109,0.766
Monster - Spotify Singles,237989,63,0.298,0.813,-8.525,99.596,0.2,0.107,3.44e-06,0.0842,0.234
Not Around,183920,68,0.499,0.695,-9.452,131.006,0.333,0.113,2.85e-06,0.659,0.235
Love$ick (feat. A$AP Rocky),192160,69,0.625,0.763,-4.997,88.753,0.147,0.129,0.0106,0.214,0.721
vendetta!,107044,68,0.706,0.91,-3.527,126.007,0.175,0.146,2e-06,0.11,0.667
Living Lavish,144039,61,0.729,0.376,-10.362,139.994,0.526,0.0649,0.00403,0.134,0.668
jeans,181258,62,0.634,0.906,-4.762,142.932,0.0103,0.0454,0.00234,0.179,0.224
help_urself,139651,66,0.413,0.624,-10.353,82.516,0.00859,0.0682,0.0178,0.132,0.0814
Pretty Boy,123088,67,0.717,0.902,-5.229,136.035,0.00676,0.0828,0.00112,0.167,0.622
SugarCrash!,80080,66,0.748,0.734,-6.499,97.753,0.524,0.124,1.15e-05,0.0975,0.368
Haunted,102007,62,0.51,0.817,-8.666,169.481,0.000654,0.0373,0.0344,0.146,0.547
Antisocial (feat. Slump6s),175333,60,0.618,0.605,-6.839,146.514,0.00196,0.35,0.0,0.46,0.494
trauma,131506,61,0.699,0.87,-1.938,145.94,0.0985,0.0758,2.56e-06,0.281,0.924
