Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
September,216022,82,0.674,0.832,-7.892,125.996,0.146,0.0308,5.06e-06,0.138,0.981
(Sittin' On) the Dock of the Bay,163755,79,0.768,0.367,-11.226,103.621,0.683,0.0315,1.79e-05,0.081,0.532
Let It Snow! Let It Snow! Let It Snow!,117146,75,0.451,0.241,-14.014,134.009,0.912,0.0352,2.66e-06,0.175,0.698
I'd Rather Go Blind,156653,76,0.477,0.433,-6.473,82.52,0.689,0.0247,0.000195,0.151,0.611
Let's Groove,339320,75,0.869,0.648,-8.698,125.035,0.121,0.0633,2.17e-05,0.126,0.9
At Last,179693,75,0.274,0.348,-8.631,87.43,0.547,0.0293,0.0133,0.334,0.328
Don't Know Why,186251,75,0.745,0.219,-11.216,88.609,0.851,0.0276,1.8e-05,0.0678,0.635
It's Beginning to Look a Lot like Christmas,206639,73,0.339,0.214,-11.714,94.775,0.908,0.0375,7.47e-06,0.341,0.363
(What A) Wonderful World,129293,66,0.763,0.571,-10.552,128.212,0.529,0.0337,0.0,0.154,0.936
What A Wonderful World,139226,76,0.271,0.165,-20.652,77.082,0.726,0.0351,1.54e-06,0.118,0.202
Boogie Wonderland,288293,76,0.802,0.756,-10.791,131.715,0.0843,0.0349,0.00765,0.0521,0.963
Santa Baby (with Henri René & His Orchestra),206066,69,0.7,0.139,-12.346,84.485,0.902,0.0607,0.0,0.185,0.49
Son of a Preacher Man,149160,64,0.401,0.498,-10.682,181.701,0.394,0.0757,0.0,0.13,0.816
L-O-V-E,155306,73,0.425,0.373,-7.543,78.231,0.686,0.0801,0.0,0.077,0.663
Feeling Good,237333,66,0.535,0.548,-6.51,115.144,0.533,0.037,1.48e-06,0.123,0.477
Deck The Hall,68760,69,0.684,0.437,-10.522,107.607,0.742,0.0491,1.63e-05,0.224,0.964
The Christmas Song (Merry Christmas To You),192160,68,0.32,0.21,-15.231,73.196,0.92,0.0345,8.01e-05,0.138,0.208
A Sunday Kind Of Love,196133,70,0.421,0.285,-9.43,85.861,0.829,0.0293,1.55e-06,0.233,0.402
September,215093,73,0.697,0.832,-7.264,125.926,0.168,0.0298,0.00131,0.269,0.979
Alexander Hamilton,236737,68,0.609,0.435,-7.861,131.995,0.522,0.285,0.0,0.118,0.552
Wait for It,193749,68,0.543,0.473,-9.638,86.534,0.124,0.157,4.04e-06,0.0922,0.519
Beyond the Sea,172480,68,0.521,0.516,-7.456,136.483,0.723,0.0369,0.0,0.257,0.569
Just the Two of Us (feat. Bill Withers),438493,72,0.749,0.497,-12.609,95.818,0.41,0.105,0.0499,0.0504,0.585
Opendoors,162102,73,0.725,0.521,-10.248,114.038,0.565,0.136,0.275,0.178,0.403
Sunrise,200626,73,0.526,0.299,-13.797,156.848,0.941,0.031,0.097,0.106,0.679
Can I Kick It?,251573,67,0.848,0.666,-6.547,96.662,0.173,0.274,0.000699,0.129,0.744
Feeling Good,174000,74,0.451,0.326,-9.239,81.726,0.863,0.0372,0.0,0.192,0.55
Come Away With Me,198226,71,0.436,0.141,-13.271,76.64,0.902,0.0308,2.81e-06,0.126,0.146
Sway,188066,72,0.713,0.639,-5.529,125.959,0.753,0.0313,0.0,0.0878,0.737
I Say a Little Prayer,216773,74,0.592,0.355,-14.051,133.032,0.478,0.0352,0.0,0.0585,0.499
Unforgettable,191973,68,0.349,0.182,-13.507,136.094,0.92,0.031,0.0152,0.143,0.178
Haven't Met You Yet,244586,68,0.615,0.733,-4.808,122.58,0.152,0.0335,0.0,0.109,0.796
Dear Theodosia,184004,64,0.598,0.221,-10.484,106.771,0.907,0.0303,4.19e-05,0.0723,0.274
Bring It On Home To Me,165280,65,0.482,0.569,-5.897,70.956,0.617,0.0328,0.0,0.155,0.609
Everybody Loves Somebody,164546,67,0.366,0.391,-12.322,119.182,0.854,0.0425,0.0,0.352,0.461
Holly Jolly Christmas,119786,67,0.647,0.465,-8.308,151.251,0.865,0.0428,0.0,0.0882,0.699
Hit the Road Jack,119880,72,0.598,0.571,-12.616,173.141,0.704,0.139,0.0,0.513,0.962
Passin' Me By,303493,65,0.759,0.756,-8.145,87.059,0.0903,0.266,2.36e-06,0.265,0.613
La vie en rose - Single Version,203760,68,0.52,0.0405,-16.396,70.136,0.875,0.0663,0.000301,0.0845,0.28
Electric Relaxation,226133,65,0.866,0.534,-9.201,98.243,0.184,0.229,0.266,0.0929,0.841
Silver Bells,142560,63,0.29,0.259,-13.967,97.173,0.9,0.0306,0.0,0.308,0.606
I'll Be Seeing You,211533,66,0.355,0.0304,-20.479,90.495,0.989,0.0361,0.0555,0.116,0.188
93 'Til Infinity,286440,67,0.59,0.672,-11.792,206.247,0.125,0.412,1.04e-06,0.147,0.688
Time Moves Slow,273864,65,0.591,0.376,-10.832,140.026,0.478,0.0543,0.0282,0.101,0.308
Santa Claus Is Coming to Town,171093,65,0.594,0.389,-7.109,122.331,0.785,0.0517,0.0,0.0313,0.396
Joy To The World,84986,63,0.553,0.337,-10.334,102.213,0.818,0.0303,0.0,0.113,0.664
Home,225906,61,0.608,0.37,-9.207,127.631,0.844,0.0306,1.87e-05,0.112,0.349
Stormy Weather,187666,67,0.262,0.356,-8.031,174.177,0.613,0.0303,0.0,0.175,0.426
Frosty The Snowman,131733,64,0.579,0.502,-7.57,76.783,0.733,0.0513,0.0,0.281,0.836
Turn Me On,154800,69,0.429,0.18,-10.694,170.645,0.864,0.0551,4.4e-06,0.104,0.485
A Change Is Gonna Come,192533,64,0.211,0.386,-10.189,172.272,0.775,0.0344,0.0,0.303,0.473
Christmas Time Is Here,163093,60,0.367,0.122,-21.34,75.265,0.984,0.0319,4.37e-05,0.172,0.104
I Put A Spell On You,155026,69,0.428,0.398,-9.13,88.886,0.755,0.0295,0.000537,0.172,0.365
Just the Two of Us (feat. Bill Withers) - Edit,237373,64,0.793,0.386,-13.413,95.819,0.597,0.0819,0.31,0.0775,0.584
These Arms of Mine,154533,65,0.403,0.284,-14.014,176.537,0.798,0.0338,0.0,0.142,0.686
Ain't That A Kick In The Head,147293,59,0.586,0.253,-11.93,108.168,0.604,0.0538,0.0,0.3,0.718
Killing Me Softly With His Song,286920,70,0.476,0.381,-10.238,121.948,0.727,0.0342,0.0,0.0614,0.33
You Send Me,165560,58,0.553,0.291,-10.426,96.216,0.877,0.03,0.0,0.129,0.412
Lone Digger,229804,57,0.767,0.938,-4.433,123.99,0.592,0.0505,0.0193,0.118,0.868
That's Amore,190400,59,0.471,0.146,-13.6,78.554,0.782,0.0309,0.0,0.0888,0.595
