Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
My Girl,165000,80,0.574,0.418,-10.739,104.57,0.636,0.0345,0.0,0.0961,0.692
September,216022,82,0.674,0.832,-7.892,125.996,0.146,0.0308,5.06e-06,0.138,0.981
Super Freak,205466,76,0.838,0.794,-8.245,132.446,0.22,0.0531,0.0,0.0575,0.962
Let's Groove,339320,76,0.869,0.648,-8.698,125.035,0.121,0.0633,2.17e-05,0.126,0.9
"I Can't Help Myself (Sugar Pie, Honey Bunch)",160280,74,0.667,0.599,-8.894,127.935,0.245,0.0291,0.0,0.107,0.971
Easy,256426,75,0.591,0.387,-15.077,132.921,0.111,0.0334,3.23e-05,0.0596,0.358
Lady - Hear Me Tonight,307153,77,0.72,0.808,-5.627,126.041,0.00793,0.0379,0.0293,0.0634,0.869
More Than A Woman,197213,76,0.632,0.683,-6.434,105.959,0.163,0.0385,0.00013,0.847,0.701
Best of My Love,220560,72,0.784,0.713,-6.865,115.443,0.447,0.0339,0.14,0.0904,0.97
Boogie Wonderland,288293,76,0.802,0.756,-10.791,131.715,0.0843,0.0349,0.00765,0.0521,0.963
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",285373,75,0.703,0.827,-7.179,103.564,0.032,0.0343,0.00636,0.179,0.944
How Deep Is Your Love,245200,77,0.633,0.357,-9.366,104.938,0.107,0.0264,0.0,0.133,0.672
September,215093,73,0.697,0.832,-7.264,125.926,0.168,0.0298,0.00131,0.269,0.979
Play That Funky Music,300000,70,0.814,0.672,-12.068,109.394,0.0435,0.0619,0.0,0.061,0.933
This Will Be (An Everlasting Love),171960,72,0.685,0.623,-11.146,126.739,0.228,0.042,0.00234,0.0295,0.896
You Can't Hurry Love,167933,72,0.63,0.711,-9.34,96.915,0.299,0.0472,0.0,0.0813,0.659
"World, Hold On - FISHER Rework",178304,65,0.772,0.882,-5.242,127.006,0.00614,0.0589,0.00627,0.136,0.891
I'm So Excited,230640,74,0.59,0.868,-5.832,184.348,0.0962,0.048,0.000322,0.442,0.798
"Night Fever - From ""Saturday Night Fever"" Soundtrack",212253,72,0.733,0.795,-7.224,109.121,0.0263,0.0249,0.000952,0.083,0.892
You Sexy Thing,244920,71,0.791,0.733,-5.465,105.853,0.523,0.0633,0.0016,0.167,0.962
Never Walk Alone,188360,71,0.853,0.594,-6.823,129.995,0.052,0.0371,0.134,0.0469,0.83
Boogie Shoes - 2004 Remaster,132040,62,0.931,0.801,-10.725,119.533,0.496,0.0548,0.379,0.0563,0.971
Stayin Alive,285373,70,0.702,0.773,-9.256,103.564,0.0288,0.0343,0.00871,0.147,0.953
Get Down On It - Single Version,211680,68,0.877,0.56,-8.529,110.86,0.156,0.0621,0.000139,0.0535,0.969
Midnight Train to Georgia,279333,64,0.595,0.379,-12.058,92.006,0.271,0.0454,2.81e-05,0.1,0.448
Blame It on the Boogie,214200,69,0.774,0.641,-10.193,113.256,0.0765,0.0799,0.0,0.0867,0.875
Ain't Too Proud To Beg,156173,63,0.763,0.655,-6.86,118.397,0.552,0.0417,0.0,0.125,0.925
Caribbean Queen (No More Love On the Run),244426,70,0.79,0.649,-7.507,113.798,0.166,0.0265,8.87e-05,0.092,0.954
Forget Me Nots - Remastered,284506,67,0.919,0.458,-6.963,113.82,0.0797,0.0429,0.0558,0.0534,0.963
Tragedy,303333,70,0.665,0.532,-10.792,117.954,0.0871,0.0278,0.00993,0.296,0.825
Baby Love,158040,67,0.595,0.643,-9.275,135.633,0.757,0.0365,0.0,0.538,0.731
Y.M.C.A.,286666,61,0.75,0.785,-10.926,126.361,0.0278,0.0591,0.0,0.0601,0.752
Stayin' Alive - Edited Version,92866,61,0.709,0.53,-19.793,103.641,0.111,0.044,0.00621,0.0884,0.648
Oh Honey,356200,62,0.734,0.42,-12.036,94.161,0.188,0.028,0.242,0.0826,0.462
Celebration,298866,68,0.886,0.664,-11.795,121.631,0.145,0.0524,0.0483,0.0767,0.906
I'm Coming Out,323346,68,0.72,0.828,-9.211,110.071,0.185,0.0462,0.429,0.0839,0.768
Love Train,178400,64,0.743,0.572,-9.627,122.658,0.186,0.0493,1.44e-05,0.163,0.675
Give It To Me Baby,248133,62,0.706,0.727,-8.714,119.55,0.114,0.0456,7.7e-05,0.174,0.965
Killing Me Softly With His Song,286920,70,0.476,0.381,-10.238,121.948,0.727,0.0342,0.0,0.0614,0.33
Flashdance...What a Feeling - Radio Edit,237053,75,0.572,0.655,-7.027,122.49,0.00579,0.0344,3.41e-06,0.0901,0.392
I'll Be Around,188800,62,0.593,0.791,-8.698,112.295,0.175,0.068,0.0,0.0976,0.63
Just My Imagination (Running Away With Me),228160,60,0.425,0.242,-15.424,92.472,0.88,0.0267,0.0118,0.195,0.477
Could It Be I'm Falling in Love,249733,61,0.382,0.727,-6.677,207.265,0.729,0.0861,0.0,0.196,0.826
More Than A Woman,196213,66,0.601,0.703,-6.24,106.164,0.175,0.0379,8.4e-05,0.571,0.673
It's A Shame,190058,64,0.372,0.642,-11.955,198.731,0.0947,0.0594,0.0,0.117,0.705
Hopelessly Devoted To You,186000,58,0.574,0.514,-8.02,111.005,0.313,0.028,0.00362,0.274,0.352
"Can't Get Enough Of Your Love, Babe",274000,68,0.729,0.78,-7.604,111.833,0.114,0.0631,0.106,0.0759,0.795
Hopelessly Devoted To You - From “Grease”,185360,71,0.59,0.338,-13.101,110.581,0.292,0.03,0.0131,0.121,0.322
Shining Star,170160,61,0.676,0.692,-13.093,102.516,0.668,0.052,0.00915,0.13,0.799
We Are Family - 1995 Remaster,216733,67,0.784,0.893,-5.153,118.738,0.3,0.0923,1.57e-05,0.272,0.819
"I Will Survive - Original 7"" Version",198373,67,0.779,0.542,-15.137,116.284,0.0358,0.0515,0.000659,0.33,0.647
You Should Be Dancing,256493,67,0.682,0.716,-10.911,123.011,0.0182,0.0333,0.168,0.337,0.963
Hello (feat. Dragonette),191387,60,0.665,0.975,-3.47,128.011,0.0135,0.0345,0.000925,0.105,0.452
World Hold On (Children of the Sky) - Radio Edit,199194,74,0.738,0.933,-1.898,126.994,0.0764,0.0946,0.000108,0.247,0.633
I Will Survive - Single Version,198066,64,0.777,0.725,-8.681,116.669,0.0131,0.05,0.00805,0.246,0.529
Shooting Stars,235813,65,0.636,0.72,-6.195,124.944,0.0893,0.0432,0.0178,0.0868,0.425
