Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Poppies,212075,38,0.488,0.479,-10.255,134.956,0.0932,0.0314,0.201,0.119,0.371
Pops,281320,24,0.364,0.147,-10.497,100.521,0.932,0.0295,0.000108,0.11,0.0905
Pope,295240,19,0.393,0.449,-10.583,111.73,0.71,0.0371,0.00104,0.13,0.227
Banco Popular,96934,32,0.436,0.928,-3.438,129.967,0.0436,0.0833,0.0,0.464,0.529
rainy poppy field - Remastered,214266,31,0.621,0.732,-8.684,102.023,0.015,0.0339,0.0481,0.107,0.885
Popol,274000,16,0.122,0.0465,-25.568,67.941,0.991,0.0439,0.963,0.104,0.0332
Poppy Day,122093,18,0.498,0.313,-11.764,118.518,0.153,0.0369,0.786,0.21,0.0429
Blue Eyed Pop,156440,26,0.585,0.586,-11.826,121.988,0.00292,0.0947,0.0482,0.408,0.727
Way It Was,171381,26,0.48,0.603,-11.898,96.332,0.273,0.0382,0.884,0.965,0.248
Goon Pop,172377,24,0.63,0.62,-9.633,109.983,0.274,0.0331,0.852,0.15,0.585
rainy poppy field,214266,22,0.636,0.699,-7.602,102.019,0.0297,0.0332,0.0174,0.098,0.964
Pope,278973,11,0.542,0.394,-11.555,111.845,0.817,0.0382,0.00129,0.107,0.248
Say!,232847,23,0.504,0.81,-6.774,176.155,0.299,0.0342,0.846,0.059,0.645
Popplagið - Live,923573,16,0.196,0.636,-9.465,111.061,0.579,0.052,0.883,0.656,0.0688
Untitled #8 - Popplagið,705093,34,0.131,0.638,-8.963,157.651,0.0571,0.0419,0.78,0.109,0.174
Poppin',175101,6,0.584,0.567,-9.224,144.079,0.00235,0.139,0.00262,0.345,0.217
Banco Popular,96934,16,0.435,0.931,-3.464,129.962,0.0486,0.0833,0.0,0.464,0.556
Lunch Hour Pops,216626,22,0.529,0.612,-7.74,125.431,0.825,0.0309,0.0,0.187,0.791
Tiger Balm,237296,33,0.431,0.698,-10.108,174.031,0.0134,0.0312,0.823,0.0846,0.614
Here to Fall,345080,20,0.275,0.735,-8.418,155.476,0.137,0.0452,0.0681,0.375,0.615
Pop Down,121443,7,0.673,0.622,-8.233,113.98,0.0672,0.0328,0.0,0.116,0.363
Pope,295240,5,0.403,0.449,-10.582,111.731,0.708,0.0367,0.000962,0.13,0.246
Nothing to Hide,166506,19,0.321,0.913,-6.055,163.386,0.00119,0.0401,0.168,0.15,0.721
