Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
"Good Luck, Babe!",218423,94,0.7,0.582,-5.96,116.712,0.0502,0.0356,0.0,0.0881,0.785
HOT TO GO!,184841,89,0.742,0.757,-4.981,139.982,0.0187,0.0421,0.0,0.305,0.957
Pink Pony Club,258034,86,0.61,0.65,-6.199,106.719,0.399,0.0474,0.0,0.11,0.507
Stick Season,182346,87,0.664,0.5,-6.935,117.896,0.799,0.0651,0.0,0.0966,0.801
Red Wine Supernova,192720,85,0.657,0.82,-4.448,124.041,0.0176,0.0441,0.0,0.0847,0.709
My Love Mine All Mine,137773,88,0.504,0.308,-14.958,113.95,0.868,0.0321,0.135,0.158,0.121
Casual,232796,84,0.508,0.411,-6.95,131.008,0.226,0.0269,0.0,0.0571,0.34
505,253586,79,0.52,0.852,-5.866,140.267,0.00237,0.0543,5.79e-05,0.0733,0.234
No One Noticed,236906,82,0.705,0.339,-10.612,97.989,0.552,0.0278,0.0814,0.12,0.457
Lovers Rock,213920,85,0.559,0.871,-5.338,104.97,7.53e-06,0.0397,0.00545,0.096,0.572
we fell in love in october,184153,86,0.566,0.366,-12.808,129.96,0.113,0.028,0.181,0.155,0.237
Shut up My Moms Calling,164571,86,0.485,0.409,-10.711,138.419,0.325,0.101,0.0,0.103,0.376
End of Beginning,159245,89,0.689,0.454,-7.643,159.982,0.0351,0.0584,0.00259,0.0707,0.912
Apocalypse,290616,87,0.369,0.468,-9.013,94.434,0.0205,0.0273,0.566,0.109,0.18
Not Allowed,167864,84,0.67,0.905,-6.855,104.965,0.669,0.129,0.000227,0.349,0.563
Take Me to Church,241693,79,0.566,0.664,-5.303,128.945,0.634,0.0464,0.0,0.116,0.437
I Wanna Be Yours,183956,90,0.464,0.417,-9.345,67.528,0.136,0.0256,0.022,0.0974,0.479
Disco,152760,85,0.473,0.621,-8.698,173.083,0.0253,0.0291,0.000366,0.19,0.782
My Kink Is Karma,222578,81,0.555,0.599,-5.695,86.727,0.00925,0.052,0.0,0.102,0.415
The Night We Met,208211,78,0.545,0.366,-9.51,86.997,0.969,0.0378,0.267,0.641,0.1
Femininomenon,219710,82,0.609,0.758,-4.885,124.949,0.139,0.0525,5.38e-06,0.11,0.236
Cigarettes out the Window,198960,84,0.625,0.659,-5.669,113.551,0.12,0.0337,0.0,0.17,0.594
Cigarette Daydreams,208760,79,0.636,0.676,-3.442,113.98,0.0807,0.0263,0.0,0.0831,0.273
Creep,238640,86,0.515,0.43,-9.935,91.844,0.0097,0.0372,0.000133,0.129,0.104
Too Sweet,251424,78,0.741,0.62,-5.505,117.038,0.0295,0.0412,0.000809,0.0398,0.934
Jealous,122338,83,0.474,0.921,-10.431,93.01,0.00491,0.0457,0.85,0.476,0.696
I Love You So,160239,86,0.575,0.648,-4.891,75.977,0.583,0.0358,0.0,0.115,0.466
Juna,195109,81,0.606,0.714,-6.244,141.512,0.238,0.0339,0.098,0.106,0.448
Freaks,147062,84,0.345,0.941,-9.918,179.626,3.84e-05,0.0466,0.633,0.0511,0.407
