Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Timeless (with Playboi Carti),256000,92,0.769,0.722,-5.485,119.973,0.0584,0.0507,2.56e-06,0.111,0.57
Snooze,201800,86,0.559,0.551,-7.231,143.008,0.141,0.132,0.0,0.11,0.392
Don't,198293,83,0.765,0.356,-5.556,96.991,0.223,0.195,0.0,0.0963,0.189
Saturn,186191,85,0.411,0.619,-6.834,177.937,0.62,0.0368,0.0,0.11,0.337
Kill Bill,153946,86,0.644,0.735,-5.747,88.98,0.0521,0.0391,0.144,0.161,0.418
Sure Thing,195373,85,0.684,0.607,-8.127,81.001,0.0267,0.1,0.000307,0.191,0.498
Romantic Homicide,132630,85,0.571,0.544,-10.613,132.052,0.453,0.0299,0.00805,0.322,0.216
Cigarette Daydreams,208760,79,0.636,0.676,-3.442,113.98,0.0807,0.0263,0.0,0.0831,0.273
Blinding Lights,200040,88,0.513,0.73,-5.94,171.001,0.00143,0.0598,9.54e-05,0.0897,0.334
Break from Toronto,99213,82,0.595,0.678,-5.18,117.067,0.0199,0.0335,0.00389,0.418,0.259
"One Of The Girls (with JENNIE, Lily Rose Depp)",244684,90,0.264,0.64,-6.221,84.828,0.0393,0.0442,2.31e-06,0.151,0.19
The Color Violet,226466,83,0.645,0.534,-10.8,105.02,0.157,0.0479,0.0,0.0863,0.463
Yeah! (feat. Lil Jon & Ludacris),250373,84,0.894,0.791,-4.699,105.018,0.0183,0.112,0.0,0.0388,0.583
Best Time,82508,82,0.81,0.307,-7.215,92.995,0.16,0.12,0.00298,0.0779,0.697
Broken Clocks,231253,80,0.692,0.684,-7.364,112.912,0.131,0.155,0.0,0.156,0.406
Get You (feat. Kali Uchis),278179,82,0.658,0.294,-8.533,74.038,0.422,0.0321,5.2e-05,0.0749,0.358
2055,123986,80,0.829,0.512,-5.865,80.511,0.492,0.187,0.0,0.12,0.638
Whatever She Wants,161342,79,0.803,0.512,-6.871,96.02,0.128,0.066,0.0,0.0928,0.435
Exchange,194613,79,0.525,0.433,-10.598,160.108,0.107,0.185,0.0,0.135,0.276
Best Part (feat. H.E.R.),209831,84,0.524,0.364,-10.209,75.24,0.808,0.0367,0.0,0.1,0.436
The Hills,242253,84,0.585,0.564,-7.063,113.003,0.0671,0.0515,0.0,0.135,0.137
Ain't No Rest for the Wicked,175493,76,0.636,0.849,-7.075,156.036,0.0438,0.106,0.0,0.372,0.917
Starboy,230453,87,0.679,0.587,-7.015,186.003,0.141,0.276,6.35e-06,0.137,0.486
No Scrubs,214400,82,0.743,0.675,-4.267,92.909,0.0251,0.0953,0.000717,0.0685,0.59
Space Song,320466,76,0.508,0.792,-7.311,147.067,0.229,0.0297,0.124,0.145,0.601
Clouded,110128,78,0.583,0.344,-8.765,65.203,0.774,0.0559,0.0,0.143,0.581
Right My Wrongs,249320,78,0.543,0.449,-8.065,132.609,0.345,0.0463,0.0,0.157,0.29
Forever Yours,96368,78,0.646,0.503,-7.472,137.007,0.00426,0.0312,0.000279,0.652,0.789
Die For You,260253,84,0.586,0.525,-7.163,133.629,0.111,0.0615,0.0,0.134,0.508
Stargirl Interlude,111626,82,0.715,0.47,-12.638,89.965,0.353,0.0772,0.0923,0.104,0.426
Seven Nation Army,232106,82,0.743,0.446,-7.807,123.596,0.0039,0.0683,0.118,0.337,0.278
Dancing In The Flames,220036,85,0.552,0.73,-6.203,116.875,0.0011,0.0381,0.0,0.0837,0.162
Here Comes The Sun - Remastered 2009,185733,82,0.557,0.54,-10.484,129.177,0.0339,0.0347,0.00248,0.179,0.394
Poison,212992,78,0.689,0.394,-10.102,117.489,0.711,0.065,0.000905,0.0859,0.382
"Paint It, Black",202266,82,0.464,0.795,-9.267,158.691,0.0493,0.0926,0.00244,0.399,0.612
Good Days,278480,79,0.461,0.651,-8.81,121.07,0.418,0.0568,1.26e-05,0.782,0.383
From the Subway Train,57370,78,0.392,0.429,-10.279,72.104,0.527,0.0462,0.015,0.217,0.105
I Don't Wanna Wait,149667,86,0.681,0.714,-4.617,129.976,0.0375,0.0309,0.0,0.232,0.554
Hex,122221,78,0.845,0.398,-15.781,109.996,0.872,0.268,0.00713,0.159,0.482
DJ Got Us Fallin' In Love (feat. Pitbull),220800,81,0.663,0.861,-3.398,119.963,0.0338,0.109,0.0,0.082,0.654
Here With Me,242484,83,0.575,0.45,-9.306,132.039,0.531,0.0259,6.59e-05,0.124,0.263
Lil Boo Thang,114233,78,0.85,0.699,-3.292,114.481,0.152,0.0776,0.0,0.32,0.915
Love Galore (feat. Travis Scott),275080,77,0.795,0.594,-6.2,135.002,0.112,0.0748,0.0,0.162,0.409
Crew (feat. Brent Faiyaz & Shy Glizzy),176702,76,0.728,0.607,-8.417,129.938,0.133,0.132,0.0,0.0864,0.445
Thriller,357266,78,0.773,0.859,-4.913,118.459,0.0855,0.0747,0.000187,0.914,0.813
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),227960,76,0.693,0.549,-8.141,80.028,0.0109,0.119,0.0,0.0677,0.605
What You Heard,238242,76,0.429,0.371,-9.017,137.134,0.546,0.0327,5.71e-06,0.104,0.135
Sativa,276960,76,0.741,0.61,-7.34,125.99,0.316,0.0511,0.0,0.534,0.72
Young Dumb & Broke,202546,79,0.799,0.539,-6.351,136.948,0.199,0.0421,1.66e-05,0.165,0.394
Love,255333,80,0.688,0.518,-4.285,116.714,0.0642,0.0283,0.0,0.1,0.314
Dandelions,233720,85,0.609,0.692,-2.958,116.959,0.0157,0.0259,0.0,0.0864,0.454
Feel It - From The Original Series “Invincible”,157974,78,0.565,0.593,-5.864,120.509,0.0288,0.0883,0.0,0.215,0.429
Crazy In Love (feat. Jay-Z),236133,77,0.646,0.77,-6.596,99.165,0.00249,0.226,0.0,0.0715,0.681
Alien Blues,155933,78,0.467,0.757,-5.093,82.282,0.0807,0.033,0.908,0.0876,0.433
ALL MINE,216062,76,0.617,0.378,-8.54,141.967,0.428,0.0315,9.16e-05,0.11,0.22
Dog Days Are Over,251840,73,0.492,0.81,-5.315,149.954,0.0416,0.0847,0.00379,0.117,0.245
Open Arms (feat. Travis Scott),239613,80,0.434,0.586,-7.612,78.259,0.753,0.138,0.0144,0.146,0.239
