Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Sweater Weather,240400,90,0.612,0.807,-2.81,124.053,0.0495,0.0336,0.0177,0.101,0.398
505,253586,79,0.52,0.852,-5.866,140.267,0.00237,0.0543,5.79e-05,0.0733,0.234
Dreams - 2004 Remaster,257800,84,0.828,0.492,-9.744,120.151,0.0644,0.0276,0.00428,0.128,0.789
Mr. Brightside,222973,85,0.352,0.911,-5.23,148.033,0.00121,0.0747,0.0,0.0995,0.236
Take Me to Church,241693,79,0.566,0.664,-5.303,128.945,0.634,0.0464,0.0,0.116,0.437
I Wanna Be Yours,183956,90,0.464,0.417,-9.345,67.528,0.136,0.0256,0.022,0.0974,0.479
Linger,274706,84,0.439,0.434,-14.918,94.843,0.0783,0.0265,5.18e-05,0.14,0.204
Rich Girl,142786,81,0.573,0.683,-6.644,169.519,0.461,0.176,0.0,0.0935,0.817
Cigarette Daydreams,208760,79,0.636,0.676,-3.442,113.98,0.0807,0.0263,0.0,0.0831,0.273
Evergreen,87000,84,0.555,0.216,-11.661,79.109,0.557,0.0721,0.00416,0.109,0.504
Creep,238640,86,0.515,0.43,-9.935,91.844,0.0097,0.0372,0.000133,0.129,0.104
Iris,289533,87,0.315,0.715,-8.072,155.925,0.00125,0.0362,7.97e-06,0.0942,0.497
Too Sweet,251424,78,0.741,0.62,-5.505,117.038,0.0295,0.0412,0.000809,0.0398,0.934
Riptide,204280,84,0.483,0.731,-6.696,101.654,0.436,0.0381,0.0,0.151,0.484
Brown Eyed Girl,183306,82,0.491,0.583,-10.964,150.566,0.185,0.0376,0.0,0.406,0.908
Don't Stop Believin' (2022 Remaster),249600,85,0.505,0.754,-7.435,119.204,0.132,0.0366,0.0,0.204,0.51
Work Song,229720,77,0.531,0.363,-7.672,121.412,0.749,0.0608,0.0,0.112,0.259
Numb,187520,87,0.488,0.87,-4.185,110.072,0.00353,0.0421,0.0,0.484,0.211
Too Sweet,251424,78,0.741,0.62,-5.505,117.038,0.0295,0.0412,0.000809,0.0398,0.934
Everlong,250546,81,0.413,0.881,-5.541,158.066,5.99e-05,0.0367,0.000308,0.0805,0.364
Everybody Wants To Rule The World,251488,85,0.645,0.795,-12.095,112.067,0.347,0.0527,0.00389,0.104,0.535
In the End,216880,87,0.556,0.864,-5.87,105.143,0.00958,0.0584,0.0,0.209,0.4
